period_label,account,category,artists,unit_cost_ngn,basis,cost_ngn,cost_usd
Q4_2024,gni_diaspora,Digital Distribution,117,15000,per artist per quarter x 2 track(s),3510000,2374.83
Q4_2024,gni_diaspora,Web Hosting & CDN,117,50000,per artist per quarter,5850000,3958.05
Q4_2024,gni_diaspora,Promotion & Marketing,117,250000,per artist per quarter x 2 track(s),58500000,39580.51
Q4_2024,unclassified,Studio Production,71,750000,per artist per quarter x 2 track(s),106500000,72056.83
Q4_2024,unclassified,Digital Distribution,71,15000,per artist per quarter x 2 track(s),2130000,1441.14
Q4_2024,unclassified,Web Hosting & CDN,71,50000,per artist per quarter,3550000,2401.89
Q4_2024,unclassified,Promotion & Marketing,71,250000,per artist per quarter x 2 track(s),35500000,24018.94
Q1_2025,domestic_production,Studio Production,515,750000,per artist per quarter x 2 track(s),772500000,504901.96
Q1_2025,domestic_production,Digital Distribution,515,15000,per artist per quarter x 2 track(s),15450000,10098.04
Q1_2025,domestic_production,Web Hosting & CDN,515,50000,per artist per quarter,25750000,16830.07
Q1_2025,domestic_production,Promotion & Marketing,515,250000,per artist per quarter x 2 track(s),257500000,168300.65
Q1_2025,gni_diaspora,Studio Production,118,750000,per artist per quarter x 2 track(s),177000000,115686.27
Q1_2025,gni_diaspora,Digital Distribution,118,15000,per artist per quarter x 2 track(s),3540000,2313.73
Q1_2025,gni_diaspora,Web Hosting & CDN,118,50000,per artist per quarter,5900000,3856.21
Q1_2025,gni_diaspora,Promotion & Marketing,118,250000,per artist per quarter x 2 track(s),59000000,38562.09
Q1_2025,unclassified,Studio Production,73,750000,per artist per quarter x 2 track(s),109500000,71568.63
Q1_2025,unclassified,Digital Distribution,73,15000,per artist per quarter x 2 track(s),2190000,1431.37
Q1_2025,unclassified,Web Hosting & CDN,73,50000,per artist per quarter,3650000,2385.62
Q1_2025,unclassified,Promotion & Marketing,73,250000,per artist per quarter x 2 track(s),36500000,23856.21
Q2_2025,domestic_production,Studio Production,520,750000,per artist per quarter x 2 track(s),780000000,509803.92
Q2_2025,domestic_production,Digital Distribution,520,15000,per artist per quarter x 2 track(s),15600000,10196.08
Q2_2025,domestic_production,Web Hosting & CDN,520,50000,per artist per quarter,26000000,16993.46
Q2_2025,domestic_production,Promotion & Marketing,520,250000,per artist per quarter x 2 track(s),260000000,169934.64
Q2_2025,gni_diaspora,Studio Production,119,750000,per artist per quarter x 2 track(s),178500000,116666.67
Q2_2025,gni_diaspora,Digital Distribution,119,15000,per artist per quarter x 2 track(s),3570000,2333.33
Q2_2025,gni_diaspora,Web Hosting & CDN,119,50000,per artist per quarter,5950000,3888.89
Q2_2025,gni_diaspora,Promotion & Marketing,119,250000,per artist per quarter x 2 track(s),59500000,38888.89
Q2_2025,unclassified,Studio Production,76,750000,per artist per quarter x 2 track(s),114000000,74509.8
Q2_2025,unclassified,Digital Distribution,76,15000,per artist per quarter x 2 track(s),2280000,1490.2
Q2_2025,unclassified,Web Hosting & CDN,76,50000,per artist per quarter,3800000,2483.66
Q2_2025,unclassified,Promotion & Marketing,76,250000,per artist per quarter x 2 track(s),38000000,24836.6
Q3_2025,domestic_production,Studio Production,522,750000,per artist per quarter x 2 track(s),783000000,511764.71
Q3_2025,domestic_production,Digital Distribution,522,15000,per artist per quarter x 2 track(s),15660000,10235.29
Q3_2025,domestic_production,Web Hosting & CDN,522,50000,per artist per quarter,26100000,17058.82
Q3_2025,domestic_production,Promotion & Marketing,522,250000,per artist per quarter x 2 track(s),261000000,170588.24
Q3_2025,gni_diaspora,Studio Production,120,750000,per artist per quarter x 2 track(s),180000000,117647.06
Q3_2025,gni_diaspora,Digital Distribution,120,15000,per artist per quarter x 2 track(s),3600000,2352.94
Q3_2025,gni_diaspora,Web Hosting & CDN,120,50000,per artist per quarter,6000000,3921.57
Q3_2025,gni_diaspora,Promotion & Marketing,120,250000,per artist per quarter x 2 track(s),60000000,39215.69
Q3_2025,unclassified,Studio Production,77,750000,per artist per quarter x 2 track(s),115500000,75490.2
Q3_2025,unclassified,Digital Distribution,77,15000,per artist per quarter x 2 track(s),2310000,1509.8
Q3_2025,unclassified,Web Hosting & CDN,77,50000,per artist per quarter,3850000,2516.34
Q3_2025,unclassified,Promotion & Marketing,77,250000,per artist per quarter x 2 track(s),38500000,25163.4
Q4_2025,domestic_production,Studio Production,523,750000,per artist per quarter x 2 track(s),784500000,512745.1
Q4_2025,domestic_production,Digital Distribution,523,15000,per artist per quarter x 2 track(s),15690000,10254.9
Q4_2025,domestic_production,Web Hosting & CDN,523,50000,per artist per quarter,26150000,17091.5
Q4_2025,domestic_production,Promotion & Marketing,523,250000,per artist per quarter x 2 track(s),261500000,170915.03
Q4_2025,gni_diaspora,Studio Production,120,750000,per artist per quarter x 2 track(s),180000000,117647.06
Q4_2025,gni_diaspora,Digital Distribution,120,15000,per artist per quarter x 2 track(s),3600000,2352.94
Q4_2025,gni_diaspora,Web Hosting & CDN,120,50000,per artist per quarter,6000000,3921.57
Q4_2025,gni_diaspora,Promotion & Marketing,120,250000,per artist per quarter x 2 track(s),60000000,39215.69
Q4_2025,unclassified,Studio Production,78,750000,per artist per quarter x 2 track(s),117000000,76470.59
Q4_2025,unclassified,Digital Distribution,78,15000,per artist per quarter x 2 track(s),2340000,1529.41
Q4_2025,unclassified,Web Hosting & CDN,78,50000,per artist per quarter,3900000,2549.02
Q4_2025,unclassified,Promotion & Marketing,78,250000,per artist per quarter x 2 track(s),39000000,25490.2
Q1_2026,domestic_production,Studio Production,524,750000,per artist per quarter x 2 track(s),786000000,513725.49
Q1_2026,domestic_production,Digital Distribution,524,15000,per artist per quarter x 2 track(s),15720000,10274.51
Q1_2026,domestic_production,Web Hosting & CDN,524,50000,per artist per quarter,26200000,17124.18
Q1_2026,domestic_production,Promotion & Marketing,524,250000,per artist per quarter x 2 track(s),262000000,171241.83
Q1_2026,gni_diaspora,Studio Production,121,750000,per artist per quarter x 2 track(s),181500000,118627.45
Q1_2026,gni_diaspora,Digital Distribution,121,15000,per artist per quarter x 2 track(s),3630000,2372.55
Q1_2026,gni_diaspora,Web Hosting & CDN,121,50000,per artist per quarter,6050000,3954.25
Q1_2026,gni_diaspora,Promotion & Marketing,121,250000,per artist per quarter x 2 track(s),60500000,39542.48
Q1_2026,unclassified,Studio Production,79,750000,per artist per quarter x 2 track(s),118500000,77450.98
Q1_2026,unclassified,Digital Distribution,79,15000,per artist per quarter x 2 track(s),2370000,1549.02
Q1_2026,unclassified,Web Hosting & CDN,79,50000,per artist per quarter,3950000,2581.7
Q1_2026,unclassified,Promotion & Marketing,79,250000,per artist per quarter x 2 track(s),39500000,25816.99
Q2_2026,domestic_production,Studio Production,524,750000,per artist per quarter x 2 track(s),786000000,513725.49
Q2_2026,domestic_production,Digital Distribution,524,15000,per artist per quarter x 2 track(s),15720000,10274.51
Q2_2026,domestic_production,Web Hosting & CDN,524,50000,per artist per quarter,26200000,17124.18
Q2_2026,domestic_production,Promotion & Marketing,524,250000,per artist per quarter x 2 track(s),262000000,171241.83
Q2_2026,gni_diaspora,Studio Production,121,750000,per artist per quarter x 2 track(s),181500000,118627.45
Q2_2026,gni_diaspora,Digital Distribution,121,15000,per artist per quarter x 2 track(s),3630000,2372.55
Q2_2026,gni_diaspora,Web Hosting & CDN,121,50000,per artist per quarter,6050000,3954.25
Q2_2026,gni_diaspora,Promotion & Marketing,121,250000,per artist per quarter x 2 track(s),60500000,39542.48
Q2_2026,unclassified,Studio Production,81,750000,per artist per quarter x 2 track(s),121500000,79411.76
Q2_2026,unclassified,Digital Distribution,81,15000,per artist per quarter x 2 track(s),2430000,1588.24
Q2_2026,unclassified,Web Hosting & CDN,81,50000,per artist per quarter,4050000,2647.06
Q2_2026,unclassified,Promotion & Marketing,81,250000,per artist per quarter x 2 track(s),40500000,26470.59
Q3_2026,domestic_production,Studio Production,524,750000,per artist per quarter x 2 track(s),786000000,513725.49
Q3_2026,domestic_production,Digital Distribution,524,15000,per artist per quarter x 2 track(s),15720000,10274.51
Q3_2026,domestic_production,Web Hosting & CDN,524,50000,per artist per quarter,26200000,17124.18
Q3_2026,domestic_production,Promotion & Marketing,524,250000,per artist per quarter x 2 track(s),262000000,171241.83
Q3_2026,gni_diaspora,Studio Production,121,750000,per artist per quarter x 2 track(s),181500000,118627.45
Q3_2026,gni_diaspora,Digital Distribution,121,15000,per artist per quarter x 2 track(s),3630000,2372.55
Q3_2026,gni_diaspora,Web Hosting & CDN,121,50000,per artist per quarter,6050000,3954.25
Q3_2026,gni_diaspora,Promotion & Marketing,121,250000,per artist per quarter x 2 track(s),60500000,39542.48
Q3_2026,unclassified,Studio Production,81,750000,per artist per quarter x 2 track(s),121500000,79411.76
Q3_2026,unclassified,Digital Distribution,81,15000,per artist per quarter x 2 track(s),2430000,1588.24
Q3_2026,unclassified,Web Hosting & CDN,81,50000,per artist per quarter,4050000,2647.06
Q3_2026,unclassified,Promotion & Marketing,81,250000,per artist per quarter x 2 track(s),40500000,26470.59
